,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Career and Technical Education (CTE) programs offer a sequence of courses that provides students with coherent and rigorous content. CTE content is aligned with challenging academic standards and relevant technical knowledge and skills needed to prepare for further education and careers in current or emerging professions. CTE courses are organized into Programs of Study under Career Clusters that encompass similar career areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, Food & Natural Resources",,,,,Architecture & Construction,,,,,,,"Arts, A/V Tech & Communication",,,,,,"Business, Marketing & Finance",,,,Education,Health Science,,,,,,,,Hospitality & Tourism,,,Human Services,,,Information Technology,,,,,,Law & Public Service,,,Manufacturing,,Engineering,"Transportation, Distribution & Logistics",,,,
Career and Technical Education (CTE) Programs of Study by High School Campus,Animal Science,Applied Agricultural Engineering - Welding,Environmental & Natural Resources,Floral Design,Horticulture Science,Architectural Design,Carpentry,Construction Management & Inspection,Electrical,HVAC & Sheet Metal,Interior Design,Plumbing & Pipe Fitting,Animation,Digital Communications,Fashion Design,Graphic Design,Photography,Video Game Design,Accounting & Financial Services,Business Management,Entrepreneurship,Marketing & Sales,Teaching & Training,Exercise Science & Wellness,Health Informatics - Medical Coding & Billing,Healthcare Diagnostic - ECG/EKG & Phlebotomy,Biomedical Science,Healthcare Therapeutic - Patient Care Tech,Healthcare Therapeutic - Pharmacy Technician,"Healthcare Therapeutic-
Registered Dental Asst.","Healthcare Therapeutic-
Emergency Med. Tech.",Culinary Arts,Lodging & Resort Management,"Travel, Tourism & Attractions",Cosmetology & Personal Care,Family & Community Services,Health & Wellness,Cybersecurity,Information Technology Support & Services,Networking Systems,Programming & Software Development,Web Development,"Emergency Services-
Firefighter",Government & Public Administration,Law Enforcement,Legal Studies,"Electronics Technology 
",Welding,"Engineering 
Foundations",Automotive Collision,Automotive Maintenance,Aviation Maintenance,Aviation Flight,
Bryan Adams,,,,,,,,,,,,,,,,,,,,,★,★,,,,,AOHS*,,,,,AOHT,,,,,,,,,,,,,★,,,,AOE*,,,,,6
Adamson  ,,,,,,,,,,,,,,,,★,,,★,,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,,,4
Carter ,,,,,,,,,,,,,,,,,,,★,★,,,,,,,,,,,,,,,,,,,,,,,,,★,★,,,,,,,,4
City Lab,,,★,,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Conrad ,,,,,,,,,,,,,,,,,,,AOF,,,,,,,,,,,,,AOHT*,,,,,,,,,,,,,,,,,,,,,,2
Hillcrest  ,,,,,,,,,,,,,,,,,,,,★,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,AOE*,,,,,3
IDEA  ,,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Jefferson ,,,,,,,,,,,,,,,,,,,,,★,★,,,,,,,,,,AOHT*,,,,,,,,,,,,,,,,,,,,,,3
Kimball  ,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,AOHT*,AOHT*,,,,,,,,,,,,★,,,,,,,,,4
Lincoln  ,,,,,,,,,,,,,,★,,,,,,★,,,,,,,,,,,,★,,,,,,,,,,,,,,,,,,,,,,3
Madison ,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Molina  ,,,,,,,,,,,,,,,,,,,,★,★,,,,,,,,,,,★,,,,,,,,,,,,,★,,,,,,,,,4
Multiple Careers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
North Dallas  ,,,,,,,,,,,,,,,,★,,,,,AOF*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Obama  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,,1
Pinkston ,,,,,,,,,,,,,,,,,,,AOF,,,,,,,,,,,,,,,,,,,,,,,AOIT,,,★,,,,,,,,,3
Rangel  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Roosevelt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,,,,★,,,,,,,,,,,★,,,,,,,,,,,3
Samuell  ,,,,,,,,,,,,,,,,★,,,,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Sanders Public Service, Law  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,★,★,,,,,,,,3
School of Business/Management  ,,,,,,,,,,,,,,,,,,,★,★,★,★,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,5
School of Health Professions ,,,,,,,,,,,,,,,,,,,,,,,,★,★,★,,★,,★,,,,,,,,,,,,,,,,,,,,,,,,5
School of Science & Engineering ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,,1
School for Talented & Gifted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,,,,,,,,,,,,,
